Episode Number,URL,Notes ,Live ID (Live Streaming),Media ID (VOD),Title,Description,Tags,Sponsor,Streaming?,Talent,Moderator,Session Start Time,Session End Time,O&O Plays,O&O Uniques,O&O Completes,O&O Time (hours),O&O AVG Time Per Viewer (sec)
,https://www.essence.com/video/livestream-beautycon-essencefest-edition-day-2/,,BEAUTYCON™: @ESSENCEFEST Edition,,,,,,,,,,,,,,,
1,,,,,SATURDAY,,"#EFOC2026, #BC, #BC0704",,Streaming & VOD,,,,,,,,,
2,,,,,DJ,,"#EFOC2026, #BC, #BC0704",,Streaming & VOD,,,,,,,,,
3,https://www.essence.com/video/the-scent-of-becoming-what-living-fully-feels-like/,,,,"The Scent of Becoming: What Living Fully Feels Like Powered by Brown Sugar Babe 
","A conversation exploring what a full, expansive life looks, feels, and smells like for Black women and marginalized communities today. Rather than focusing solely on policy or activism, the discussion centers on joy, self-definition, rest, beauty, and the right to imagine bigger futures.","#EFOC2026, #BC, #BC0704",BROWN SUGAR BABE,Streaming & VOD,"Brittany Packnett Cunningham
Dominique Morgan",,4/7/2026 10:00,4/7/2026 10:00,,,,,
4,https://www.essence.com/video/rooted-building-beauty-brands-with-purpose/↗,,,,Rooted: Building Beauty Brands With Purpose,"What does it take to build a brand that truly sees its customer? Join Black Girl Vitamins Executive Jennifer Juma and Bask and Lather founder for a candid conversation on creating products rooted in intention, community, and culture. From formulation to founding story, this panel pulls back the curtain on what it really means to build beauty brands for us, by us.","#EFOC2026, #BC, #BC0704",,Streaming & VOD,Jennifer Juma of Black Girl Vitamins and Bask and Lather CEO,,4/7/2026 11:00,4/7/2026 11:20,,,,,
5,https://www.essence.com/video/beauty-feud-interstitials-2/↗,,,,Beauty Feud Interstitials #2,"5 minute on stage audience participation games. Where they can win prizes, gifts and discounts to our partners products.
#2- Blindfolded product selection
","#EFOC2026, #BC, #BC0704",,Streaming & VOD,,,4/7/2026 11:30,4/7/2026 11:50,,,,,
6,https://www.essence.com/video/beauty-university-make-up-masterclass-ft-kenya-alexis/↗,,,,Beauty University: Make Up Masterclass ft. Kenya Alexis,"From skin prep to final touch, Kenya pulls back the curtain on the artistry that has made her a beauty industry force. Whether you're a working MUA or a beauty enthusiast, walk away with skills that transform the way you see and do your make up.","#EFOC2026, #BC, #BC0704",,Streaming & VOD,,,4/7/2026 12:00,4/7/2026 12:05,,,,,
7,https://www.essence.com/wp-admin/post.php?post=1059731&action=edit,,,,Beauty University: Hair Masterclass ft. Brandy,Brandy will share her Hair health tips and tricks,"#EFOC2026, #BC, #BC0704",,Streaming & VOD,,,4/7/2026 12:20,4/7/2026 12:55,,,,,
8,https://www.essence.com/video/buseum/↗,,,,Buseum:,"The Buseum meets the mainstage. Kahh Spence and Brandi unpack the trends, the tension, and the timeless conversation around beauty and its role in community, beyond aesthetics.","#EFOC2026, #BC, #BC0704",,Streaming & VOD,"Akili King ,Hair By Brandy , Justins Revenge",,4/7/2026 13:00,4/7/2026 13:35,,,,,
9,https://www.essence.com/video/fashion-house-panel/↗,,,,Fashion House Panel,"A panel featuring the brands showcased in the ESSENCE Luxe Experience. The conversation will explore how today’s Black-owned independent luxury brands are reshaping exclusivity, access, and influence. Expect insights on building a fashion house in the digital age, staying culturally grounded while scaling globally, and what it truly means to define luxury on your own terms.","#EFOC2026, #BC, #BC0704",,Streaming & VOD, Mecca Pryor (Moderator),,4/7/2026 13:40,4/7/2026 14:00,,,,,
10,https://www.essence.com/video/between-us-curls-podcast-ft-malia/↗,,,,Between Us Curls Podcast ft. Malia,"ESSENCE Sr Beauty Editor Akili King hosts candid 1-on-1 chats between
curl friends, exploring background, career journeys, and the paths to
success.","#EFOC2026, #BC, #BC0704",,Streaming & VOD,Malia Baker,,4/7/2026 14:05,4/7/2026 14:25,,,,,
11,https://www.essence.com/wp-admin/post.php?post=1059746&action=edit,,,,Fashion House: Styling Clinic,"Fashion stylists Wayman and Micah bring their signature eye to the Essence Fest stage for an interactive style clinic that goes beyond the clothes. Learn how to identify the colors, silhouettes, and pieces that work for your lifestyle and your life.","#EFOC2026, #BC, #BC0704",,Streaming & VOD,,,4/7/2026 14:30,4/7/2026 14:50,,,,,
12,https://www.essence.com/wp-admin/post.php?post=1060008&action=edit,,,,Beauty University Hair Master Class ft. Edith Donaldson,Hair is the first step to getting a signature look. Join Teyanna Taylors hair stylist Edith Donaldson for step by step tutorial on how to get celebrity level hair.,"#EFOC2026, #BC, #BC0704",,Streaming & VOD,,,4/7/2026 15:20,4/7/2026 15:40,,,,,
13,https://www.essence.com/wp-admin/post.php?post=1060009&action=edit,,,,Find Your Aesthic,"Fashion stylists ------ bring their signature eye to the Essence Fest stage for an interactive style clinic that goes beyond the clothes. Learn how to identify the colors, silhouettes, and pieces that work for your lifestyle and your life.","#EFOC2026, #BC, #BC0704",,Streaming & VOD,,,4/7/2026 15:45,4/7/2026 16:05,,,,,
14,https://www.essence.com/video/creators-lane-ft-aba-asante/↗,,,,Creators Lane ft. Aba Asante,"A deep dive into growing your brand as an influencer or content creator in the beauty space through effective marketing strategies, partnering with your creator community, and building lucrative brand relationships.
Beauty Feud 
","#EFOC2026, #BC, #BC0704",,Streaming & VOD,Aba Asante,,4/7/2026 16:25,4/7/2026 16:55,,,,,
,https://www.essence.com/wp-admin/post.php?post=1060018&action=edit,Not in Airtable??,,,Passion to Profit ft. Cardi B,"A 20 minute stage moment featuring Cardi B followed by a 20 minute Grow Good dedicated moment with a product educator
","#EFOC2026, #BC, #BC0704",,Streaming & VOD,Cardi B,,4/7/2026 15:45,4/7/2026 16:05,,,,,
,,,Book Festival: ESSENCE Authors ,,,,,,,,,,,,,,,
1,https://www.essence.com/video/southern-culture-literary-imagination-with-new-orleans-black-women-writers/,,,,Southern Culture & Literary Imagination with New Orleans Black Women Writers,"Moderated by Megan Braden-Perry, award-winning authors Addie Citchens and Marti Dumas discuss how New Orleans, memory, and imagination shape their work as Black Southern writers. Powered by Community Book Center founder Vera Warren Williams.","#EFOC2026, #EA, #EA0704",,,"Addie Citchens
Marti Dumas
Moderator: Megan Braden-Perry
",,,,,,,,
2,https://www.essence.com/video/storytime-my-daddy-needs-a-gift/,,,,Storytime: My Daddy Needs a Gift,"Naomi DeBerry, 2025-26 TIME Magazine Girl of the Year, presents her book, My Daddy Needs a Gift. ","#EFOC2026, #EA, #EA0704",,,Naomi DeBerry ,,,,,,,,
3,https://www.essence.com/video/from-new-orleans-to-the-page-engineering-dreams-telling-our-stories/↗,,,,From New Orleans to the Page: Engineering Dreams & Telling Our Stories,"Courtney Kelly never saw herself in the books she read growing up — so she decided to write the ones she needed. In this warm, joyful conversation, the engineer and author of Celeste Paves the Way celebrates the power of representation in children's literature and the remarkable journey from a childhood in New Orleans to building a career in STEM and a legacy on the page.","#EFOC2026, #EA, #EA0704",,VOD,"Courtney Kelly (Celeste Paves The Way)
Moderator TBD",,,,,,,,
4,https://www.essence.com/video/becoming-the-leader-you-were-called-to-be-leading-with-authenticity-faith-courage-in-times-of-change/↗,,,,"Becoming the Leader You Were Called to Be Leading with Authenticity, Faith, & Courage in Times of Change","Krystal Hardy Allen’s interactive session will explore practical leadership strategies from What Goes Unspoken that help leaders create healthier workplace cultures while navigating change with confidence and clarity. Attendees will learn how to strengthen trust, retain top talent, lead difficult conversations with courage, and build organizations where both people and performance can flourish. Through real-world examples and actionable tools, participants will leave with practical strategies they can apply immediately in their own organizations.","#EFOC2026, #EA, #EA0704",,VOD,Krystal Allen,,,,,,,,
5,https://www.essence.com/video/the-hostess-with-the-mostest-masterclass-with-amber-mayfield-hewitt/↗,,,,The Hostess With The Mostest Masterclass with Amber Mayfield Hewitt,"For Amber Mayfield Hewett, hosting has never been about the table setting. It's about the feeling you create when people walk through the door. We sat down with her to talk about how that philosophy became a book, from idea to finished product.","#EFOC2026, #EA, #EA0704",,VOD,"Amber Mayfield Hewitt 
Moderator: Bridgette Bartlett Royall",,,,,,,,
